"DateTime";"Middeltemperatur";"Maksimumtemperatur";"Minimumtemperatur"
"2019-07-01 00:00:00";13,8;14;13,6
"2019-07-01 01:00:00";13,8;14,3;13,3
"2019-07-01 02:00:00";13,1;13,4;12,9
"2019-07-01 03:00:00";13;13,2;12,8
"2019-07-01 04:00:00";13,3;13,9;12,9
"2019-07-01 05:00:00";14,6;15,1;13,9
"2019-07-01 06:00:00";15,5;16,2;14,9
"2019-07-01 07:00:00";16,2;17;15,7
"2019-07-01 08:00:00";17,2;17,6;16,7
"2019-07-01 09:00:00";18,3;19,2;17
"2019-07-01 10:00:00";18,8;19,7;17,4
"2019-07-01 11:00:00";18,5;19,7;16,6
"2019-07-01 12:00:00";18,7;19,6;17,9
"2019-07-01 13:00:00";18,7;19,4;18,1
"2019-07-01 14:00:00";18,2;19,4;17,3
"2019-07-01 15:00:00";16,5;17,7;14,9
"2019-07-01 16:00:00";15,2;16,7;13,8
"2019-07-01 17:00:00";15,2;15,8;14,3
"2019-07-01 18:00:00";15,3;15,7;15,1
"2019-07-01 19:00:00";14,4;15,1;14,1
"2019-07-01 20:00:00";14,2;14,4;14
"2019-07-01 21:00:00";14;14,1;13,8
"2019-07-01 22:00:00";13,5;13,9;13,1
"2019-07-01 23:00:00";12,8;13,2;12,6
"2019-07-02 00:00:00";12,2;12,7;11,8
"2019-07-02 01:00:00";12,2;12,4;12
"2019-07-02 02:00:00";11,8;12,2;11,4
"2019-07-02 03:00:00";11,3;11,5;11,1
"2019-07-02 04:00:00";10,9;11,3;10,6
"2019-07-02 05:00:00";10,9;11,2;10,6
"2019-07-02 06:00:00";11,5;11,8;11
"2019-07-02 07:00:00";12;12,7;11,3
"2019-07-02 08:00:00";12,3;13,3;11,6
"2019-07-02 09:00:00";12,8;13,7;11,6
"2019-07-02 10:00:00";13,4;14,8;12,1
"2019-07-02 11:00:00";14,1;14,8;13,3
"2019-07-02 12:00:00";14,3;15;13,3
"2019-07-02 13:00:00";14;15,1;13,1
"2019-07-02 14:00:00";14,5;15,2;13,5
"2019-07-02 15:00:00";14,3;15,5;13,7
"2019-07-02 16:00:00";13,9;14,8;13,3
"2019-07-02 17:00:00";13,8;14,4;13,2
"2019-07-02 18:00:00";13,1;13,9;12,4
"2019-07-02 19:00:00";12,1;12,6;11,6
"2019-07-02 20:00:00";11,4;11,8;11
"2019-07-02 21:00:00";10,8;11,1;10,6
"2019-07-02 22:00:00";10,4;10,6;10
"2019-07-02 23:00:00";10,4;10,6;10,1
"2019-07-03 00:00:00";9,9;10,3;9,7
"2019-07-03 01:00:00";9,6;10,1;9,3
"2019-07-03 02:00:00";9,2;9,6;8,8
"2019-07-03 03:00:00";8,6;8,9;8,3
"2019-07-03 04:00:00";8;8,4;7,7
"2019-07-03 05:00:00";9,1;10,2;8,1
"2019-07-03 06:00:00";11,1;11,8;10,2
"2019-07-03 07:00:00";12,1;12,7;11,3
"2019-07-03 08:00:00";13;14;12,2
"2019-07-03 09:00:00";13,5;14,6;12
"2019-07-03 10:00:00";12,1;14,8;10,6
"2019-07-03 11:00:00";14,2;15,5;13
"2019-07-03 12:00:00";13;15;11,2
"2019-07-03 13:00:00";13,3;14,6;11,8
"2019-07-03 14:00:00";13;14,8;11,1
"2019-07-03 15:00:00";12,6;15,3;11,3
"2019-07-03 16:00:00";13,4;14,3;12,4
"2019-07-03 17:00:00";13,8;14,2;13,2
"2019-07-03 18:00:00";13,6;14,1;13
"2019-07-03 19:00:00";12,4;13;11,8
"2019-07-03 20:00:00";11,2;11,8;10,5
