,Name,arable,forest,managed_grassland,semi_natural,urban,NA,crop_div,crop_rich,mass_fl_area,mass_fl_pa,EUNIS_div_agg,EUNIS_rich_agg,EUNIS_div,EUNIS_rich
1,FBG1,0.809947095260199,0.113098300580686,0.0385324043127031,0.0384221998464111,0,0,0.66469663890419,2,0,0,0.66791721809872,4,0.687635723922714,7
2,FBG10,0.791865924969519,0.141172839991506,0.0201794656545192,0.0467817693844558,0,0,1.03426056621593,3,38567.4420952965,1,0.683196639330853,4,0.735378602513231,7
3,FBG11 alt,0.937632672472262,0,0.0316419228753347,0.0307254046524038,0,0,0.945230478983568,3,0,0,0.276655227340255,3,0.310243863635831,5
4,FBG12 neu (2018),0.857143136292827,0,0.00272733168942521,0.140129532017747,0,0,1.06269756403016,3,0,0,0.42361314383055,3,0.54912968423944,6
5,FBG13,0.941839575253316,0,0,0.0581604247466837,0,0,0.887314221658171,3,47830.9115693048,1,0.221875574369803,2,0.248632711425147,3
6,FBG14,0.934796488197357,0,0,0.0652035118026427,0,0,0.692789675952917,2,57754.9390282268,1,0.241051356020504,2,0.306908765699908,4
7,FBG15,0.782503016020437,0,0.0345168326961424,0.182980151283421,0,0,1.07996858481474,4,0,0,0.61887842035968,3,0.882108147688037,8
8,FBG16,0.843768225345006,0,0.0691044167672598,0.0713522844380479,0.0145092588882285,0.00126581456145761,0.686577535711282,2,0,0,0.58623543960828,5,0.635063349850144,7
9,FBG2_neu(2015),0.457241237033174,0.182045706090788,0.124195342751205,0.219111270488392,0.01740644363644,0,0.674205526551178,2,1.1997004407458,1,1.33014628208909,5,1.68128227097791,10
10,FBG3 alt,0.986096373730402,0,0,0.0139036262695977,0,0,1.06153406357658,3,29.3884229515679,1,0.0732529419658415,2,0.0732529419658415,2
11,FBG4,0.963850994035783,0,0.00928841922547545,0.0268605867387418,0,0,1.0728776736683,3,23004.2236382961,1,0.176105304639489,3,0.193927868215864,4
12,FBG5,0.640967268690579,0.0364378942608085,0.0725382474428654,0.250056589605747,0,0,0.890799087058378,3,0,0,0.942684837815045,4,1.1126547904613,8
