"site","GenSpec","StartDate","EndDate","YearValue","sum_pantrap"
"FBG","Bombus_lapidarius",2010-08-02,2010-08-16,2010,2
"FBG","Bombus_lapidarius",2010-08-16,2010-08-30,2010,2
"FBG","Bombus_lapidarius",2010-08-30,2010-09-13,2010,2
"FBG","Bombus_lapidarius",2011-05-02,2011-05-16,2011,3
"FBG","Bombus_lapidarius",2011-05-16,2011-05-30,2011,5
"FBG","Bombus_lapidarius",2011-05-30,2011-06-14,2011,23
"FBG","Bombus_lapidarius",2011-08-01,2011-08-15,2011,3
"FBG","Bombus_lapidarius",2011-08-15,2011-08-29,2011,2
"FBG","Bombus_lapidarius",2011-08-29,2011-09-12,2011,1
"FBG","Bombus_lapidarius",2012-05-02,2012-05-15,2012,1
"FBG","Bombus_lapidarius",2012-05-14,2012-05-29,2012,4
"FBG","Bombus_lapidarius",2012-05-29,2012-06-12,2012,11
"FBG","Bombus_lapidarius",2012-07-31,2012-08-14,2012,6
"FBG","Bombus_lapidarius",2012-08-14,2012-08-28,2012,1
"FBG","Bombus_lapidarius",2013-05-13,2013-05-27,2013,1
"FBG","Bombus_lapidarius",2013-05-27,2013-06-10,2013,2
"FBG","Bombus_lapidarius",2013-08-05,2013-08-19,2013,2
"FBG","Bombus_lapidarius",2013-08-19,2013-09-02,2013,1
"FBG","Bombus_lapidarius",2014-04-28,2014-05-12,2014,5
"FBG","Bombus_lapidarius",2014-05-12,2014-05-26,2014,7
"FBG","Bombus_lapidarius",2014-07-14,2014-07-28,2014,2
"FBG","Bombus_lapidarius",2015-04-20,2015-05-04,2015,1
"FBG","Bombus_lapidarius",2015-05-04,2015-05-18,2015,2
"FBG","Bombus_lapidarius",2015-05-18,2015-06-01,2015,1
"FBG","Bombus_lapidarius",2015-07-23,2015-08-03,2015,1
"FBG","Bombus_lapidarius",2016-05-18,2016-06-01,2016,5
"FBG","Bombus_lapidarius",2016-07-13,2016-07-27,2016,2
"FBG","Bombus_lapidarius",2016-07-27,2016-08-10,2016,1
"FBG","Bombus_lapidarius",2017-05-17,2017-05-31,2017,2
"FBG","Bombus_lapidarius",2018-05-02,2018-05-16,2018,1
"FBG","Bombus_lapidarius",2018-05-16,2018-05-30,2018,1
"FBG","Bombus_lapidarius",2018-08-01,2018-08-15,2018,1
"FBG","Bombus_terrestris",2010-05-02,2010-05-17,2010,14
"FBG","Bombus_terrestris",2010-05-17,2010-05-24,2010,4
"FBG","Bombus_terrestris",2010-05-24,2010-06-07,2010,2
"FBG","Bombus_terrestris",2010-08-02,2010-08-16,2010,4
"FBG","Bombus_terrestris",2010-08-16,2010-08-30,2010,3
"FBG","Bombus_terrestris",2010-08-30,2010-09-13,2010,3
"FBG","Bombus_terrestris",2011-05-02,2011-05-16,2011,5
"FBG","Bombus_terrestris",2011-05-16,2011-05-30,2011,13
"FBG","Bombus_terrestris",2011-05-30,2011-06-14,2011,35
"FBG","Bombus_terrestris",2011-08-01,2011-08-15,2011,5
"FBG","Bombus_terrestris",2011-08-15,2011-08-29,2011,8
"FBG","Bombus_terrestris",2011-08-29,2011-09-12,2011,3
"FBG","Bombus_terrestris",2012-05-02,2012-05-15,2012,3
"FBG","Bombus_terrestris",2012-05-14,2012-05-29,2012,6
"FBG","Bombus_terrestris",2012-05-29,2012-06-12,2012,15
"FBG","Bombus_terrestris",2012-08-28,2012-09-11,2012,1
"FBG","Bombus_terrestris",2013-05-13,2013-05-27,2013,4
"FBG","Bombus_terrestris",2013-05-27,2013-06-10,2013,7
"FBG","Bombus_terrestris",2013-08-05,2013-08-19,2013,17
"FBG","Bombus_terrestris",2013-09-02,2013-09-16,2013,1
"FBG","Bombus_terrestris",2014-04-14,2014-04-28,2014,4
"FBG","Bombus_terrestris",2014-04-28,2014-05-12,2014,11
"FBG","Bombus_terrestris",2014-05-12,2014-05-26,2014,34
"FBG","Bombus_terrestris",2014-07-14,2014-07-28,2014,16
"FBG","Bombus_terrestris",2014-07-28,2014-08-13,2014,8
"FBG","Bombus_terrestris",2014-08-13,2014-08-26,2014,3
"FBG","Bombus_terrestris",2015-04-20,2015-05-04,2015,3
"FBG","Bombus_terrestris",2015-05-04,2015-05-18,2015,4
"FBG","Bombus_terrestris",2015-05-18,2015-06-01,2015,5
"FBG","Bombus_terrestris",2015-07-23,2015-08-03,2015,10
"FBG","Bombus_terrestris",2016-04-20,2016-05-04,2016,2
"FBG","Bombus_terrestris",2016-05-04,2016-05-18,2016,3
"FBG","Bombus_terrestris",2016-05-18,2016-06-01,2016,14
"FBG","Bombus_terrestris",2016-07-13,2016-07-27,2016,5
"FBG","Bombus_terrestris",2016-07-27,2016-08-10,2016,1
"FBG","Bombus_terrestris",2016-08-10,2016-08-24,2016,3
"FBG","Bombus_terrestris",2017-04-20,2017-05-04,2017,35
"FBG","Bombus_terrestris",2017-05-04,2017-05-17,2017,14
"FBG","Bombus_terrestris",2017-05-17,2017-05-31,2017,11
"FBG","Bombus_terrestris",2017-08-09,2017-08-23,2017,1
"FBG","Bombus_terrestris",2017-08-23,2017-09-06,2017,1
"FBG","Bombus_terrestris",2018-05-02,2018-05-16,2018,1
"FBG","Bombus_terrestris",2018-05-16,2018-05-30,2018,5
"FBG","Bombus_terrestris",2018-08-01,2018-08-15,2018,1
"FBG","Bombus_terrestris",2018-08-29,2018-09-12,2018,1
"FBG","Bombus_terrestris",2019-04-15,2019-04-29,2019,4
"FBG","Bombus_terrestris",2019-04-29,2019-05-13,2019,15
"FBG","Bombus_terrestris",2019-05-13,2019-05-27,2019,11
"FBG","Bombus_terrestris",2020-04-14,2020-04-28,2020,1
"FBG","Bombus_terrestris",2020-04-28,2020-05-12,2020,3
"FBG","Bombus_terrestris",2020-05-12,2020-05-26,2020,12
"FBG","Bombus_terrestris",2020-07-21,2020-08-04,2020,2
"FBG","Bombus_terrestris",2020-08-04,2020-08-18,2020,2
"GFH","Bombus_lapidarius",2010-05-04,2010-05-26,2010,1
"GFH","Bombus_lapidarius",2010-05-26,2010-06-09,2010,1
"GFH","Bombus_lapidarius",2010-08-04,2010-08-18,2010,5
"GFH","Bombus_lapidarius",2010-08-18,2010-09-01,2010,6
"GFH","Bombus_lapidarius",2011-05-04,2011-05-18,2011,2
"GFH","Bombus_lapidarius",2011-05-18,2011-06-01,2011,5
"GFH","Bombus_lapidarius",2011-06-01,2011-06-16,2011,16
"GFH","Bombus_lapidarius",2011-08-03,2011-08-17,2011,3
